Filename:	C:\Documents and Settings\SOON KI\Desktop\Tanner\Oligomer in EEC 6-11-21\Lightintensity PHEA-coBA in EEC 6-17-21\40 mW 2 cont light.dcd 
Operator ID:	AK 
Sample ID:	Epoxy w/ P(HEA-coBA) 2 Cont light 
Comment:	 
Serial Number:	 
Data Collected:	6/17/2021 2:50:38 PM 
Sample Weight:	2.930 mg 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\Indium Temperature Calibration 2-22-2021 TG.dcc 
Date/Time:	 
Initial Conditions 
Temperature:	 
Y Initial:	 
Sample Rate:	 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	24000 
Method Steps: 
Pre-Run Actions 
	Start the Run 
		Action occurs Immediately 
	Switch the Gas to Nitrogen at 20.0 ml/min  
		Action occurs Immediately 
1)	Hold for 20.0 min at 35.00¡ÆC 
 
1) DSC Isothermal	Time	Unsubtracted Heat Flow	Baseline Heat Flow	ProgramTemperature	Sample Temperature	Approx. Gas Flow 
	0.000000	-0.122797	0.000000	35.000000	25.819000	0.000000 
	0.000833	-0.123000	0.000000	35.000000	25.820000	0.000000 
	0.001667	-0.123101	0.000000	35.000000	25.819000	0.000000 
	0.002500	-0.123304	0.000000	35.000000	25.819000	0.000000 
	0.003333	-0.123506	0.000000	35.000000	25.819000	0.000000 
	0.004167	-0.123709	0.000000	35.000000	25.819000	0.000000 
	0.005000	-0.124114	0.000000	35.000000	25.819000	0.000000 
	0.005833	-0.124418	0.000000	35.000000	25.819000	0.000000 
	0.006667	-0.124722	0.000000	35.000000	25.819000	0.000000 
	0.007500	-0.125026	0.000000	35.000000	25.819000	0.000000 
	0.008333	-0.125330	0.000000	35.000000	25.819000	0.000000 
	0.009167	-0.125533	0.000000	35.000000	25.820000	0.000000 
	0.010000	-0.125634	0.000000	35.000000	25.821000	0.000000 
	0.010833	-0.125735	0.000000	35.000000	25.820000	0.000000 
	0.011667	-0.125735	0.000000	35.000000	25.820000	0.000000 
	0.012500	-0.125735	0.000000	35.000000	25.820000	0.000000 
	0.013333	-0.125735	0.000000	35.000000	25.819000	0.000000 
	0.014167	-0.125634	0.000000	35.000000	25.820000	0.000000 
	0.015000	-0.125533	0.000000	35.000000	25.820000	0.000000 
	0.015833	-0.125330	0.000000	35.000000	25.820000	0.000000 
	0.016667	-0.125127	0.000000	35.000000	25.820000	0.000000 
	0.017500	-0.124823	0.000000	35.000000	25.820000	0.000000 
	0.018333	-0.124621	0.000000	35.000000	25.820000	0.000000 
	0.019167	-0.124317	0.000000	35.000000	25.820000	0.000000 
	0.020000	-0.124114	0.000000	35.000000	25.820000	0.000000 
	0.020833	-0.123912	0.000000	35.000000	25.819000	0.000000 
	0.021667	-0.123810	0.000000	35.000000	25.819000	0.000000 
	0.022500	-0.123608	0.000000	35.000000	25.819000	0.000000 
	0.023333	-0.123608	0.000000	35.000000	25.820000	0.000000 
	0.024167	-0.123608	0.000000	35.000000	25.820000	0.000000 
	0.025000	-0.123709	0.000000	35.000000	25.820000	0.000000 
	0.025833	-0.123912	0.000000	35.000000	25.820000	0.000000 
	0.026667	-0.124215	0.000000	35.000000	25.820000	0.000000 
	0.027500	-0.124519	0.000000	35.000000	25.820000	0.000000 
	0.028333	-0.124722	0.000000	35.000000	25.820000	0.000000 
	0.029167	-0.124925	0.000000	35.000000	25.820000	0.000000 
	0.030000	-0.125127	0.000000	35.000000	25.820000	0.000000 
	0.030833	-0.125229	0.000000	35.000000	25.820000	0.000000 
	0.031667	-0.125330	0.000000	35.000000	25.820000	0.000000 
	0.032500	-0.125431	0.000000	35.000000	25.820000	0.000000 
	0.033333	-0.125533	0.000000	35.000000	25.820000	0.000000 
	0.034167	-0.125735	0.000000	35.000000	25.820000	0.000000 
